"Table 2.1. Personal Income and Its Disposition"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: March 30, 2017 - Next Release Date April 28, 2017"
"Line"," ","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"36","    Personal income excluding current transfer receipts, billions of chained (2009) dollars 5",848.4,793.4,747.0,649.3,631.6,694.4,762.5,848.9,900.7,845.2,910.0,973.6,1137.6,1318.0,1495.3,1533.0,1505.2,1423.6,1380.3,1445.7,1432.9,1556.8,1677.0,1758.5,1839.7,1832.0,1955.2,2057.5,2101.5,2094.7,2196.7,2262.9,2323.1,2447.0,2539.7,2689.0,2863.9,3034.8,3147.7,3308.9,3462.5,3540.6,3628.8,3848.1,4046.8,3987.0,3946.3,4107.5,4284.5,4524.7,4641.9,4634.6,4761.6,4801.9,4911.4,5272.5,5462.8,5664.0,5847.0,6097.5,6305.0,6390.2,6324.7,6525.0,6626.7,6829.0,7068.9,7358.0,7722.2,8268.8,8583.7,9081.8,9203.9,9163.7,9299.5,9622.4,9860.4,10323.5,10578.7,10538.8,9947.3,9987.3,10460.1,10882.7,10830.0,11240.8,11667.7,11954.1
" ","    Disposable personal income:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","        Total, billions of chained (2009) dollars 5",843.0,789.7,762.9,663.0,643.8,705.7,774.3,871.9,901.4,852.0,923.2,986.2,1141.7,1294.4,1356.7,1399.0,1383.1,1368.6,1312.9,1382.1,1393.3,1521.9,1573.3,1627.8,1706.9,1731.3,1846.5,1934.8,1984.9,2005.9,2092.1,2146.9,2222.7,2328.9,2416.5,2588.1,2748.9,2895.0,3020.6,3157.4,3264.4,3413.2,3570.4,3741.2,3968.6,3923.6,4020.0,4144.0,4274.8,4470.5,4557.8,4590.5,4705.6,4803.3,4971.0,5314.0,5476.2,5687.8,5811.0,6083.9,6268.7,6393.5,6438.4,6714.2,6823.6,7010.7,7245.8,7476.1,7751.3,8208.1,8477.7,8902.2,9148.7,9431.6,9690.1,10035.7,10189.4,10595.4,10820.6,10987.3,10942.5,11055.1,11331.2,11688.3,11527.6,11931.0,12343.3,12685.5
" ","        Per capita:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","            Current dollars",685,608,521,396,369,420,469,530,564,517,551,588,716,903,1020,1099,1117,1170,1213,1326,1304,1417,1539,1597,1669,1678,1765,1854,1924,1958,2038,2083,2143,2238,2315,2482,2641,2819,2983,3207,3432,3713,3998,4287,4747,5135,5645,6079,6613,7322,8037,8861,9785,10442,11170,12284,12991,13661,14274,15386,16380,17235,17688,18684,19211,19906,20753,21615,22527,23759,24617,26206,27179,28127,29198,30697,31760,33589,34826,36101,35616,36274,37811,39455,39157,40838,42095,43433
"39","            Chained (2009) dollars",6917,6411,6145,5306,5122,5579,6080,6802,6990,6556,7046,7464,8558,9598,9922,10109,9885,9679,9109,9425,9340,10033,10197,10371,10697,10661,11172,11502,11589,11519,11811,11877,12097,12482,12766,13485,14144,14726,15198,15728,16102,16643,17191,17821,18725,18343,18613,19002,19406,20080,20248,20158,20458,20685,21214,22480,22960,23632,23929,24826,25340,25555,25395,26133,26216,26611,27180,27719,28397,29723,30350,31524,32075,32754,33342,34221,34424,35458,35866,36078,35616,35685,36305,37179,36414,37415,38432,39226
"40","    Population (midperiod, thousands)",121878,123188,124149,124949,125690,126485,127362,128181,128961,129969,131028,132122,133402,134860,136739,138397,139928,141389,144126,146631,149188,151684,154287,156954,159565,162391,165275,168221,171274,174141,177130,180760,183742,186590,189300,191927,194347,196599,198752,200745,202736,205089,207692,209924,211939,213898,215981,218086,220289,222629,225106,227726,230008,232218,234333,236394,238506,240683,242843,245061,247387,250181,253530,256922,260282,263455,266588,269714,272958,276154,279328,282398,285225,287955,290626,293262,295993,298818,301696,304543,307240,309801,312114,314377,316569,318887,321173,323391
" ","    Percent change from preceding period:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","        Disposable personal income, current dollars","---",-10.3,-13.7,-23.4,-6.3,14.6,12.4,13.6,7.2,-7.6,7.3,7.7,23.0,27.5,14.5,9.0,2.8,5.8,5.7,11.2,0.0,10.5,10.4,5.6,6.3,2.3,7.1,6.9,5.7,3.4,5.9,4.3,4.6,6.0,5.0,8.7,7.7,8.0,7.0,8.6,8.1,9.5,9.0,8.4,11.8,9.2,11.0,8.7,9.9,11.9,11.0,11.5,11.5,7.7,7.9,10.9,6.7,6.1,5.4,8.8,7.5,6.4,4.0,7.0,4.2,4.9,5.5,5.4,5.5,6.7,4.8,7.6,4.8,4.5,4.8,6.1,4.4,6.8,4.7,4.6,-0.5,2.7,5.0,5.1,-0.1,5.1,3.8,3.9
"42","        Disposable personal income, chained (2009) dollars","---",-6.3,-3.4,-13.1,-2.9,9.6,9.7,12.6,3.4,-5.5,8.4,6.8,15.8,13.4,4.8,3.1,-1.1,-1.1,-4.1,5.3,0.8,9.2,3.4,3.5,4.9,1.4,6.7,4.8,2.6,1.1,4.3,2.6,3.5,4.8,3.8,7.1,6.2,5.3,4.3,4.5,3.4,4.6,4.6,4.8,6.1,-1.1,2.5,3.1,3.2,4.6,2.0,0.7,2.5,2.1,3.5,6.9,3.1,3.9,2.2,4.7,3.0,2.0,0.7,4.3,1.6,2.7,3.4,3.2,3.7,5.9,3.3,5.0,2.8,3.1,2.7,3.6,1.5,4.0,2.1,1.5,-0.4,1.0,2.5,3.2,-1.4,3.5,3.5,2.8
"Legend / Footnotes:"
"1. Includes actual employer contributions and actuarially imputed employer contributions to reflect benefits accrued by defined benefit pension plan participants through service to employers in the current period."
"2. Social security benefits include old-age, survivors, and disability insurance benefits that are distributed from the federal old-age and survivors insurance trust fund and the disability insurance trust fund."
"3. Medicare benefits include hospital and supplementary medical insurance benefits that are distributed from the federal hospital insurance trust fund and the supplementary medical insurance trust fund."
"4. Consists of nonmortgage interest paid by households."
"5. The current-dollar measure is deflated by the implicit price deflator for personal consumption expenditures."
